origin,destination,length
Ax-les-Thermes,Latour de Carol,49
Foix,Pamiers,33
Souillac,St-Denis-près-Martel,27
Albi-Ville,Toulouse-Matabiau,90
Foix,Toulouse-Matabiau,139
Comines (France),Lille Flandres,54
Lille Flandres,Wambrechies,30
Abbeville,Boulogne Ville,104
Abbeville,Rue,40
Lens,Lille Flandres,80
Avesnes,Hirson-Ecoles,55
Arras,Douai,40
Hazebrouck,Lille Flandres,77
Busigny,St Quentin,60
Calais Fréthun,Calais Ville,15
Coutances,Lison,54
Granville,Lison,84
Coutances,Granville,36
Coutances,Pontorson-Mt-St-Michel,85
Granville,Vire-Centre,75
Argentan,Flers,53
Bagnoles- Orne Egl.Mad.,Briouze,40
Bagnoles- Orne Egl.Mad.,Argentan,60
Alençon,Surdon,34
L'Aigle,Surdon,58
Dreux,L'Aigle,79
Lisieux,Trouville-Deauville,50
Dives-Cabourg,Trouville-Deauville,35
Caen,Rouen-Rive-Droite,100
Evreux,Serquigny,50
Villedieu (Gare),Le Mont St Michel,45
Granville,Rennes,110
Caen,Rennes,170
Bréauté-Beuzeville,Fécamp,30
Mantes-la-Jolie,Rouen-Rive-Droite,125
Pont-Audemer-Gare-SNCF,Rouen-Gare-Routière,65
Rouen-Gare-Routière,Routot-Place-de-mairie,50
Bourg-Achard Champ de F,Pont-Audemer-Gare-SNCF,35
Nantes,St-Gilles-Croix-de-Vie,104
Cholet,Nantes,85
Cholet,Clisson,60
Albert,Amiens,46
Beauvais-Gare-SNCF,Creil,70
Hirson,Laon-Gare-Routière-Poma,80
Compiègne,Ribécourt,28
Compiègne,St Quentin,100
Compiègne,Tergnier,94
Chatellerault,Poitiers,44
Mauzé,Niort,40
Niort,Prissé-la-Charrière,49
Bressuire,Saumur,87
Bressuire,Thouars,37
La Roche-sur-Yon,Saumur,177
Chambéry-Chal.-les-Eaux,Lyon-Part-Dieu-Gare-Rou,90
Annecy,Lyon-Part-Dieu-Gare-Rou,112
Aix-les-Bains-le-Revard,Annecy,35
Valence-TGV,Grenoble-Gare-Routière,60
Chambéry-Chal.-les-Eaux,Grenoble-Gare-Routière,70
Grenoble-Gare-Routière,Valence-Gare-Routière,100
Grenoble-Gare-Routière,Lyon-Part-Dieu-Gare-Rou,119
St-André-le-Gaz,Lyon-Perrache-Gare-Rout,110
Lyon-Part-Dieu-Gare-Rou,Saint-Etienne-Chtx GR,71
Lozanne,Lyon-Gorge-de-Loup,37
Lozanne,Lyon-St-Paul-Quai-Bondy,48
Lyon-Part-Dieu-Gare-Rou,Roanne-Gare-Routière,115
Lozanne,Grandris-Centre,42
Lamure-sur-Azergues,Lozanne,46
Lozanne,Poule-Mairie,60
Lozanne,Paray-le-Monial,120
Bois-d'Oingt-Centre,Lozanne,23
Die,Valence-Gare-Routière,75
Valence-TGV,Veynes-Dévoluy,185
Veynes-Dévoluy,Valence-Gare-Routière,165
Luc-en-Diois,Valence-Gare-Routière,105
Luc-en-Diois,Valence-TGV,125
Evian-les-Bains,Grenoble-Gare-Routière,210
Saint-Etienne-Chtx GR,Valence-Gare-Routière,110
Modane,Grenoble-Gare-Routière,130
Annecy,Chamonix-Mont-Blanc,120
Annonay-Gare-Route,Grenoble-Gare-Routière,170
St-Gervais-L-B-Le-Fayet,Grenoble-Gare-Routière,190
Privas-Cours-du-Palais,Valence-Gare-Routière,50
Annemasse,Grenoble-Gare-Routière,180
Grenoble-Gare-Routière,Montélimar-G-Routière,127
Moûtiers-Salins-Brides,Grenoble-Gare-Routière,105
Chambéry-Chal.-les-Eaux,Cluses (Hte-Savoie),130
Bonneville,Lyon-Part-Dieu-Gare-Rou,145
Chambéry-Chal.-les-Eaux,St-Gervais-L-B-Le-Fayet,165
Aubenas-Pl.-de-la-Paix,Grenoble-Gare-Routière,198
Annemasse,Chambéry-Chal.-les-Eaux,110
Chambéry-Chal.-les-Eaux,Chamonix-Mont-Blanc,200
Annemasse,Evian-les-Bains,60
Grenoble-Gare-Routière,Privas-Cours-du-Palais,130
Bourg-en-Bresse Gare R,Chambéry-Chal.-les-Eaux,170
Oyonnax,Lyon-Part-Dieu-Gare-Rou,90
Chambéry-Chal.-les-Eaux,Evian-les-Bains,180
Lyon-Part-Dieu-Gare-Rou,Morez Lycée,195
Chamonix-Mont-Blanc,Lyon-Part-Dieu-Gare-Rou,240
Chambéry-Chal.-les-Eaux,Thonon-les-Bains,165
Chamonix-Mont-Blanc,Grenoble-Gare-Routière,220
Chamberry-Jacob,St-Gervais-L-B-Le-Fayet,165
Bonneville,Chambéry-Chal.-les-Eaux,130
